name,department_name,program_name,standard_period_of_study,total_credits,number_of_students,first_year_students_per_year,graduates_per_year,graduations_in_appropriate_time,gender_balance_m,gender_balance_f,proportion_of_international_students,international_orientati_studies_abroad,international_orientati_students_mobility,international_orientati_share_in_foreign_language,international_orientation_of_the_degree_course,contact_with_work_environme_internships,contact_with_work_environme_case_studies,contact_with_work_environme_external_staff_members,contact_with_work_environment,degree
Albert-Ludwigs-Universität Freiburg,Fakultät für Biologie at the Uni Freiburg,Biology (B.Sc.),6 semesters,180,544,177,150,0.402,40,60,,,,,,,,,,bachelor
Albert-Ludwigs-Universität Freiburg,Fakultät für Biologie at the Uni Freiburg,"Biology (B, multi-disciplinary, dual subject)",6 semesters,180,191,65,,,37,63,,,,,,,,,,master
Albert-Ludwigs-Universität Freiburg,Fakultät für Biologie at the Uni Freiburg,Biology (M.Sc.),4 semesters,120,333,115,138,,42,58,0.08,,,,,,,,,bachelor
Albert-Ludwigs-Universität Freiburg,Fakultät für Biologie at the Uni Freiburg,Neuroscience (M.Sc.),4 semesters,120,39,23,,,41,59,0.36,,,,,,,,,bachelor
Albert-Ludwigs-Universität Freiburg,Fakultät für Chemie und Pharmazie at the Uni Freiburg,Chemistry (B),6 semesters,,380,127,52,,62,38,,,,,,,,,,bachelor
Albert-Ludwigs-Universität Freiburg,Fakultät für Chemie und Pharmazie at the Uni Freiburg,"Chemistry (B, polyvalent with Teacher training option)",6 semesters,,118,64,,,58,42,,,,,,,,,,bachelor
Albert-Ludwigs-Universität Freiburg,Fakultät für Chemie und Pharmazie at the Uni Freiburg,German-French Regio-Chimica programme (B),6 semesters,,68,19,,,29,71,,,,,,,,,,bachelor
Albert-Ludwigs-Universität Freiburg,Fakultät für Chemie und Pharmazie at the Uni Freiburg,Biochemistry and Biophysics  (M),4 semesters,,93,41,,,54,46,,,,,,,,,,master
Albert-Ludwigs-Universität Freiburg,Fakultät für Chemie und Pharmazie at the Uni Freiburg,Chemistry (M),6 semesters,,207,49,,,70,30,,,,,,,,,,master
Albert-Ludwigs-Universität Freiburg,Fakultät für Chemie und Pharmazie at the Uni Freiburg,Sustainable Materials - Polymer Science (M),4 semesters,,89,44,,,65,35,,,,,,,,,,master
Albert-Ludwigs-Universität Freiburg,Fakultät für Chemie und Pharmazie at the Uni Freiburg,Sustainable Materials - Crystalline Materials (M),4 semesters,,27,,,,74,26,,,,,,,,,,master
Albert-Ludwigs-Universität Freiburg,Fakultät für Chemie und Pharmazie at the Uni Freiburg,Sustainable Materials - Functional Materials (M),4 semesters,,20,,,,65,35,,,,,,,,,,master
Albert-Ludwigs-Universität Freiburg,Technische Fakultät at the Uni Freiburg,Computer Science (B),6 semesters,180,520,191,43,0.651,85,15,0.12,d,a,c,c,e,b,b,d,bachelor
Albert-Ludwigs-Universität Freiburg,Technische Fakultät at the Uni Freiburg,Embedded Systems Engineering (B),6 semesters,180,131,42,22,0.622,86,14,0.11,d,a,c,c,e,a,b,d,bachelor
Albert-Ludwigs-Universität Freiburg,Technische Fakultät at the Uni Freiburg,Computer Science in multi-disciplinary dual-subject Bachelors degree with TQ option (B),6 semesters,180,54,34,,,74,26,0.06,d,b,c,d,,,,,bachelor
Albert-Ludwigs-Universität Freiburg,Technische Fakultät at the Uni Freiburg,Computer Science (M),4 semesters,120,317,83,52,0.238,80,20,0.49,d,a,a,b,e,b,b,d,master
Albert-Ludwigs-Universität Freiburg,Technische Fakultät at the Uni Freiburg,Embedded Systems Engineering (M),4 semesters,120,187,55,30,0.4,85,15,0.52,d,a,a,b,e,a,b,d,master
