name,department_name,teaching_staff_at_the_department,total_number_of_students,number_of_master_degree_students,total_score_for_support_in_the_study_entry_phase,graduations_in_appropriate_time_undergraduate_degrees,share_of_anglophone_research_groups,teacher_support,support_in_studies,courses_offered,teaching_of_technical/professional_competence,teaching_of_methodological_competence,teaching_of_interdisciplinary_competence,study_organisation,exams,laboratory_internships,excursions,research_orientation,job_market_preparation,support_for_stays_abroad,rooms,library,it_infrastructure,overall_study_situation,schoolpractice,teacher_qualification_students,teacher_qualification_programmes,teacher_qualification_centre,teacher_qualification_monitor_in_german,further_degree_courses_of_the_department,degree_courses,url,percentage_of_teaching_by_practitioners,graduations_in_appropriate_time_masters,outgoing_students,bachelor_theses_in_cooperation_with_work_environment,master_theses_in_cooperation_with_work_environment,share_of_professors_with_work_experience,publications_per_professor,third_party_funds_per_academic,doctorates_per_professor,research_reputation,return_rate_of_the__questionnaires,students_in_cooperative_education,international_orientation_bachelors,international_orientation_masters,contact_with_work_environment_bachelors,contact_with_work_environment_masters,publications_per_academic,transition_to_masters_studies,provision_of_instruments_pre_clinical,provision_of_instruments_for_clinical_studies,citations_per_publication,third_party_funds_per_professor,habilitation_treatises_in_ten_years,dentists_chairs,phantom_heads,laboratories,share_of_external_repetitions_visited,exam_preparation,exams_preparation___specific_offers,exams_preparation___training,exams_preparation___addiotional_services,exam_results,assistance_with_exam_preparation,self_study_places,habilitation_treatises_per_ten_professors,support_in_bedside_teaching,dovetailing_of_pre_clinic_and_clinic_studies,clerkship,skills_labs,cooperative_doctoral_degrees_in_three_years,support_during_practical_semester,sports_facilities,publications_per_professor_in_business_administration,publications_per_professor_in_economics,professional_qualification_for_architects,scientific_artistical_orientation,workstations,professors_with_own_engineering_company,extent_of_interlinking,coordination_of_theory_and_practice_phases,subject_specific_equipment,study_quality_funds_for_excursions
Albert-Ludwigs-Universität Freiburg,Fakultät für Biologie at the Uni Freiburg,83,"1,030",372,10/12points,40.2%,,,,,4/8points,4/8points,3/6points,,,1.7,1.6,2.0,2.2,2.1,,,,,,420,,Link,Link,none,"[{'name': 'Biology (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/20655'}, {'name': 'Biology (B, multi-disciplinary, dual subject)', 'url': 'https://ranking.zeit.de/che/en/studiengang/37877'}, {'name': 'Biology (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/27525'}, {'name': 'Neuroscience (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/40331'}]",https://ranking.zeit.de/che/en/fachbereich/420102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Wirtschafts- und Verhaltenswissenschaftliche Fakultät at the Uni Freiburg,,530,,no data,83.1%,,,,,,,,,,,,,,,,,,,,,,,,,[],https://ranking.zeit.de/che/en/fachbereich/600799,no data,43.5%,no data,no data,no data,no data,"Points per professor within the range 2,4 to 5,1",,,< 1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Fakultät für Chemie und Pharmazie at the Uni Freiburg,,700,436,8/14points,"Median 6,7; Source: Gesellschaft Deutscher Chemiker",,,2.2,,10/10points,9/10points,7/10points,1.5,,1.8,,,,,,,,2.3,,240,teacher qualification degree courses are offered,Link,Link,none,"[{'name': 'Chemistry (B)', 'url': 'https://ranking.zeit.de/che/en/studiengang/21461'}, {'name': 'Chemistry (B, polyvalent with Teacher training option)', 'url': 'https://ranking.zeit.de/che/en/studiengang/40054'}, {'name': ""German-French ''Regio-Chimica'' programme (B)"", 'url': 'https://ranking.zeit.de/che/en/studiengang/21463'}, {'name': 'Biochemistry and Biophysics  (M)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36344'}, {'name': 'Chemistry (M)', 'url': 'https://ranking.zeit.de/che/en/studiengang/21462'}, {'name': 'Sustainable Materials - Polymer Science (M)', 'url': 'https://ranking.zeit.de/che/en/studiengang/36343'}, {'name': 'Sustainable Materials - Crystalline Materials (M)', 'url': 'https://ranking.zeit.de/che/en/studiengang/37729'}, {'name': 'Sustainable Materials - Functional Materials (M)', 'url': 'https://ranking.zeit.de/che/en/studiengang/37728'}]",https://ranking.zeit.de/che/en/fachbereich/200001,,,,,,,,,,,"The results are based on the answers of 21 (12,4 % of the invited) students.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Technische Fakultät at the Uni Freiburg,,940,504,11/14points,65.1%,,1.9,2.2,1.6,,,,1.9,2.3,,,1.8,2.2,2.6,1.4,1.6,1.8,1.8,,,teacher qualification degree courses are offered,Link,Link,none,"[{'name': 'Computer Science (B)', 'url': 'https://ranking.zeit.de/che/en/studiengang/21624'}, {'name': 'Embedded Systems Engineering (B)', 'url': 'https://ranking.zeit.de/che/en/studiengang/27751'}, {'name': ""Computer Science in multi-disciplinary dual-subject Bachelor's degree with TQ option (B)"", 'url': 'https://ranking.zeit.de/che/en/studiengang/40088'}, {'name': 'Computer Science (M)', 'url': 'https://ranking.zeit.de/che/en/studiengang/21898'}, {'name': 'Embedded Systems Engineering (M)', 'url': 'https://ranking.zeit.de/che/en/studiengang/34268'}]",https://ranking.zeit.de/che/en/fachbereich/400001,7.0%,23.8%,0.0%,no data,no data,no data,,147.8T€,1.2,,,none,4/9points,6/9points,3/11points,4/11points,3.3,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Medizinische Fakultät at the Uni Freiburg,,560,25,no data available,94.7%,,no survey,no survey,no survey,,,,no survey,no survey,,,no survey,no survey,no survey,no survey,no survey,no survey,no survey,,,,,,Dentistry (State Examination); Parodontology and Peri-implant Therapy (M),[],https://ranking.zeit.de/che/en/fachbereich/420022,,,,,,,18.9,,9.5,49.1%,,,,,,,,,,,4.5,no data available,no data,no survey,no survey,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Wirtschafts- und Verhaltenswissenschaftliche Fakultät at the Uni Freiburg,,"1,620",,no data,49.4%,,,,,,,,,,,,,,,,,,,,,,,,,[],https://ranking.zeit.de/che/en/fachbereich/300063,no data,23.7%,no data,no data,no data,no data,"Points per professor within the range 0,1 to 0,5",,,< 1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Wirtschafts- und Verhaltenswissenschaftliche Fakultät at the Uni Freiburg,8,190,60,,98.7%,,,,,,,,,,,,,,,,,,,,,,,,none,"[{'name': 'Education Science and Education Management (B.A.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/29319'}, {'name': 'Education Science: Teching and Learning (M.A.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/29320'}]",https://ranking.zeit.de/che/en/fachbereich/30116,10.0%,67.6%,,33.3%,16.7%,no data,2.5,not calculated due to <3 professors at the department on average,no data available,,,,,,7/11points,6/11points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Philologische Fakultät at the Uni Freiburg,no data,470,130,no data,73.3%,,no survey,no survey,no survey,,,,no survey,no survey,,,no survey,no survey,no survey,no survey,no survey,no survey,no survey,,330,no data,Link,Link,English and American Studies (B); English Literatures and Literary Theory (Mas); English Language and Linguistics (Mas); British and North American Cultural Studies (Mas),[],https://ranking.zeit.de/che/en/fachbereich/30546,,26.7%,no data,,,,,,,,,,not ranked,not ranked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Fakultät für Umwelt und Natürliche Ressourcen at the Uni Freiburg,,140,82,8/14points,64.9%,,,,,,,,,,,less than 15 answers,less than 15 answers,less than 15 answers,less than 15 answers,,,,,,240,teacher qualification degree courses are offered,Link,Link,none,"[{'name': 'Geography (B.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/15354'}, {'name': 'Geography in multi-disciplinary dual-subject Bachelor’s with TQ option (B.Sc./B.A.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/40423'}, {'name': 'Geography of Global Change (M.Sc.)', 'url': 'https://ranking.zeit.de/che/en/studiengang/34080'}]",https://ranking.zeit.de/che/en/fachbereich/430062,5.0%,24.1%,6.0%,12.6%,12.6%,,,64.5T€,0.8,13.1%,,,2/9points,2/9points,7/12points,5/12points,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Fakultät für Umwelt und Natürliche Ressourcen at the Uni Freiburg,,220,53,9/14points,67.9%,,less than 15 answers,less than 15 answers,less than 15 answers,,,,less than 15 answers,less than 15 answers,,less than 15 answers,less than 15 answers,less than 15 answers,less than 15 answers,less than 15 answers,less than 15 answers,less than 15 answers,less than 15 answers,,,,,,none,"[{'name': 'Geosciences (B)', 'url': 'https://ranking.zeit.de/che/en/studiengang/14636'}, {'name': 'Geology (M)', 'url': 'https://ranking.zeit.de/che/en/studiengang/34252'}, {'name': 'Sustainable Materials (profile line Crystalline Materials) (M)', 'url': 'https://ranking.zeit.de/che/en/studiengang/40421'}]",https://ranking.zeit.de/che/en/fachbereich/430060,20.0%,31.0%,1.0%,46.9%,48.9%,,,86.1T€,2.0,4.5%,,,1/9points,6/9points,7/12points,4/12points,10.4,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
