id,name,kind_of_institution_and_funding_body,year_of_foundation,total_number_of_students,students_at_this_campus,semester_contribution,tuition_fees,medicine_health_science,natural_sciences_mathematics,law_economic_and_social_sciences,humanities_languages,engineering_science_incl_computer_science,other_studies,bachelors_degree,masters_degree,teacher_qualification_degree,pre_bologna_degrees,other_types_of_degrees,url,departments,departments_detail
2,Albert-Ludwigs-Universität Freiburg,"University, public",1457,"24,194","24,194",no data,There are no study fees.,15.3%,18.7%,26.2%,21.7%,8.5%,9.6%,42.4%,23.9%,5.6%,26.0%,2.1%,https://ranking.zeit.de/che/en/hochschule/2,"Biology / Bioscience, Business Administration, Chemistry, Computer Science, Dentistry, Economics, Education Science, English / North American Studies, Geography, Geoscience, German Language and Literature, Interdisciplinary programmes, Law, Mathematics, Medicine, Nursing Science, Pharmacy, Physics, Political Science, Psychology, Romance Studies, Sports Sciences","[{'name': 'Biology / Bioscience', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420102'}, {'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/600799'}, {'name': 'Chemistry', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/200001'}, {'name': 'Computer Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400001'}, {'name': 'Dentistry', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420022'}, {'name': 'Economics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/300063'}, {'name': 'Education Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30116'}, {'name': 'English / North American Studies', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30546'}, {'name': 'Geography', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430062'}, {'name': 'Geoscience', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430060'}, {'name': 'German Language and Literature', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30114'}, {'name': 'Interdisciplinary programmes', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/9150?subfach=117'}, {'name': 'Law', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400004'}, {'name': 'Mathematics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400002'}, {'name': 'Medicine', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420021'}, {'name': 'Nursing Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/491087'}, {'name': 'Pharmacy', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420306'}, {'name': 'Physics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400003'}, {'name': 'Political Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100167'}, {'name': 'Psychology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30500'}, {'name': 'Romance Studies', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/440000'}, {'name': 'Sports Sciences', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430586'}]"
4,Ruprecht-Karls-Universität Heidelberg,"University, public",1386,"28,281","26,469","169,25€",There are no study fees.,15.1%,26.2%,22.6%,29.2%,3.1%,3.8%,44.3%,21.1%,6.1%,25.4%,3.0%,https://ranking.zeit.de/che/en/hochschule/4,"Biology / Bioscience, Chemistry, Computer Science (Medizinische Fakultät Heidelberg), Computer Science (Fakultät für Mathematik und Informatik), Dentistry, Economics, Education Science, English / North American Studies, Geography, Geoscience, German Language and Literature, Law, Mathematics, Medicine, Pharmacy, Physics, Political Science, Psychology, Romance Studies, Sports Sciences","[{'name': 'Biology / Bioscience', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420110'}, {'name': 'Chemistry', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/200023'}, {'name': 'Computer Science', 'extra': 'Medizinische Fakultät Heidelberg', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400005'}, {'name': 'Computer Science', 'extra': 'Fakultät für Mathematik und Informatik', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420506'}, {'name': 'Dentistry', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420034'}, {'name': 'Economics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/300031'}, {'name': 'Education Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30564'}, {'name': 'English / North American Studies', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30563'}, {'name': 'Geography', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430076'}, {'name': 'Geoscience', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430077'}, {'name': 'German Language and Literature', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30161'}, {'name': 'Law', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400008'}, {'name': 'Mathematics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400006'}, {'name': 'Medicine', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420033'}, {'name': 'Pharmacy', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420310'}, {'name': 'Physics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400007'}, {'name': 'Political Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100129'}, {'name': 'Psychology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30163'}, {'name': 'Romance Studies', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/440001'}, {'name': 'Sports Sciences', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430594'}]"
6,Universität Hohenheim,"University, public",1818,"8,886","8,886","184,90€",There are no study fees.,0.0%,6.8%,51.0%,1.3%,0.0%,40.8%,60.8%,37.4%,0.4%,0.1%,1.2%,https://ranking.zeit.de/che/en/hochschule/6,"Biology / Bioscience, Biotechnology, Business Administration, Business Informatics, Chemical Engineering, Economic Sciences, Economics","[{'name': 'Biology / Bioscience', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420111'}, {'name': 'Biotechnology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500513?subfach=112'}, {'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/7100260'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/4100381'}, {'name': 'Chemical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500513?subfach=111'}, {'name': 'Economic Sciences', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100260'}, {'name': 'Economics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/603199'}]"
8,Karlsruher Institut für Technologie,"University, public",1825,"24,329","24,329","153,69€",There are no study fees.,0.0%,17.0%,14.4%,3.6%,62.0%,2.9%,56.8%,37.6%,3.8%,0.2%,1.5%,https://ranking.zeit.de/che/en/hochschule/8,"Architecture, Biology / Bioscience, Biotechnology, Business Informatics, Chemical Engineering, Chemistry, Civil Engineering, Computer Science, Education Science, Electrical / Information Engineering, Environmental Civil Engineering, Geography, Geoscience, German Language and Literature, Industrial Engineering, Interdisciplinary programmes, Materials Science / Engineering, Mathematics, Mechanical Engineering, Mechatronics, Physics, Sports Sciences","[{'name': 'Architecture', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/7035'}, {'name': 'Biology / Bioscience', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420115'}, {'name': 'Biotechnology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/11001?subfach=112'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/410054'}, {'name': 'Chemical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/11001?subfach=111'}, {'name': 'Chemistry', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/200045'}, {'name': 'Civil Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/8030?subfach=104'}, {'name': 'Computer Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400009'}, {'name': 'Education Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30651'}, {'name': 'Electrical / Information Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/9148?subfach=101'}, {'name': 'Environmental Civil Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/8030?subfach=118'}, {'name': 'Geography', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430083'}, {'name': 'Geoscience', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430082'}, {'name': 'German Language and Literature', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30182'}, {'name': 'Industrial Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/13056'}, {'name': 'Interdisciplinary programmes', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/9148?subfach=117'}, {'name': 'Materials Science / Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/10026?subfach=108'}, {'name': 'Mathematics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400010'}, {'name': 'Mechanical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/10026?subfach=109'}, {'name': 'Mechatronics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/140005'}, {'name': 'Physics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400011'}, {'name': 'Sports Sciences', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430597'}]"
10,Universität Konstanz,"University, public",1966,"10,983","10,983","160,00€",There are no study fees.,0.4%,20.9%,49.4%,21.4%,4.7%,3.2%,49.4%,19.3%,12.7%,15.1%,3.5%,https://ranking.zeit.de/che/en/hochschule/10,"Biology / Bioscience, Chemistry, Computer Science, Economic Sciences, English / North American Studies, German Language and Literature, Law, Mathematics, Physics, Political Science, Psychology, Romance Studies, Sports Sciences","[{'name': 'Biology / Bioscience', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420125'}, {'name': 'Chemistry', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/200046'}, {'name': 'Computer Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430140'}, {'name': 'Economic Sciences', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/300039'}, {'name': 'English / North American Studies', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30586'}, {'name': 'German Language and Literature', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30207'}, {'name': 'Law', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400014'}, {'name': 'Mathematics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400012'}, {'name': 'Physics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400013'}, {'name': 'Political Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100130'}, {'name': 'Psychology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30208'}, {'name': 'Romance Studies', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/440004'}, {'name': 'Sports Sciences', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430602'}]"
12,Universität Mannheim,"University, public",1907,"11,790","11,790",no data,There are no study fees.,0.0%,4.2%,66.0%,17.7%,6.0%,6.2%,57.9%,26.8%,6.0%,3.2%,6.2%,https://ranking.zeit.de/che/en/hochschule/12,"Business Administration, Business Informatics, Economics, English / North American Studies, German Language and Literature, Law, Political Science, Psychology, Romance Studies","[{'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/300010'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100319'}, {'name': 'Economics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/300311'}, {'name': 'English / North American Studies', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30597'}, {'name': 'German Language and Literature', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30232'}, {'name': 'Law', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400018'}, {'name': 'Political Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100131'}, {'name': 'Psychology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30234'}, {'name': 'Romance Studies', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/440005'}]"
14,Universität Stuttgart,"University, public",1829,"25,245","25,245","188,40€",There are no study fees.,0.0%,10.8%,7.1%,11.3%,66.3%,4.5%,50.9%,38.1%,8.7%,0.0%,2.3%,https://ranking.zeit.de/che/en/hochschule/14,"Architecture, Biology / Bioscience, Business Administration, Business Informatics, Chemistry, Civil Engineering, Computer Science, Education Science, Electrical / Information Engineering, English / North American Studies, Environmental Civil Engineering, Geoscience, German Language and Literature, Interdisciplinary programmes, Materials Science / Engineering, Mathematics, Mechanical Engineering, Mechanical Engineering, Mechatronics, Physics, Political Science, Process Engineering, Romance Studies, Sports Sciences","[{'name': 'Architecture', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/7061'}, {'name': 'Biology / Bioscience', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430900'}, {'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100200'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100491'}, {'name': 'Chemistry', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/200053'}, {'name': 'Civil Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/8066?subfach=104'}, {'name': 'Computer Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400019'}, {'name': 'Education Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/604414'}, {'name': 'Electrical / Information Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/9152?subfach=101'}, {'name': 'English / North American Studies', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30618'}, {'name': 'Environmental Civil Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/8066?subfach=118'}, {'name': 'Geoscience', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/491067'}, {'name': 'German Language and Literature', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30294'}, {'name': 'Interdisciplinary programmes', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100879?subfach=117'}, {'name': 'Materials Science / Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100879?subfach=108'}, {'name': 'Mathematics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400020'}, {'name': 'Mechanical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100879?subfach=109'}, {'name': 'Mechanical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500674?subfach=109'}, {'name': 'Mechatronics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/140016'}, {'name': 'Physics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400021'}, {'name': 'Political Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100150'}, {'name': 'Process Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100879?subfach=110'}, {'name': 'Romance Studies', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/440006'}, {'name': 'Sports Sciences', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430618'}]"
16,Eberhard Karls Universität Tübingen,"University, public",1477,"27,205","27,205","158,30€",There are no study fees.,14.5%,20.3%,27.8%,29.9%,5.0%,2.4%,39.8%,19.0%,15.5%,23.4%,2.3%,https://ranking.zeit.de/che/en/hochschule/16,"Biology / Bioscience, Business Administration, Chemistry, Computer Science, Dentistry, Economics, Education Science, English / North American Studies, Geography, Geoscience, German Language and Literature, Law, Mathematics, Medicine, Pharmacy, Physics, Political Science, Psychology, Romance Studies, Sports Sciences","[{'name': 'Biology / Bioscience', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420149'}, {'name': 'Business Administration', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/300022'}, {'name': 'Chemistry', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/200006'}, {'name': 'Computer Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400022'}, {'name': 'Dentistry', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420057'}, {'name': 'Economics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/300122'}, {'name': 'Education Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30623'}, {'name': 'English / North American Studies', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30622'}, {'name': 'Geography', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430114'}, {'name': 'Geoscience', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430115'}, {'name': 'German Language and Literature', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30302'}, {'name': 'Law', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400025'}, {'name': 'Mathematics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400023'}, {'name': 'Medicine', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420056'}, {'name': 'Pharmacy', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420321'}, {'name': 'Physics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400024'}, {'name': 'Political Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100152'}, {'name': 'Psychology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/133570'}, {'name': 'Romance Studies', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/440007'}, {'name': 'Sports Sciences', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430619'}]"
18,Universität Ulm,"University, public",1967,"10,305","10,305","166,50€",There are no study fees.,31.5%,30.7%,19.2%,0.0%,18.5%,0.2%,41.5%,26.7%,3.1%,28.0%,0.7%,https://ranking.zeit.de/che/en/hochschule/18,"Biology / Bioscience, Biotechnology, Chemical Engineering, Chemistry, Computer Science, Dentistry, Economic Sciences, Electrical / Information Engineering, Interdisciplinary programmes, Mathematics, Medicine, Physics, Psychology","[{'name': 'Biology / Bioscience', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420150'}, {'name': 'Biotechnology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500504?subfach=112'}, {'name': 'Chemical Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500504?subfach=111'}, {'name': 'Chemistry', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/200054'}, {'name': 'Computer Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400026'}, {'name': 'Dentistry', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420059'}, {'name': 'Economic Sciences', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100300'}, {'name': 'Electrical / Information Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/9141?subfach=101'}, {'name': 'Interdisciplinary programmes', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500504?subfach=117'}, {'name': 'Mathematics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400027'}, {'name': 'Medicine', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420058'}, {'name': 'Physics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400028'}, {'name': 'Psychology', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/500004'}]"
22,Universität Augsburg,"University, public",1970,"19,657","19,657",no data,There are no study fees.,0.0%,13.4%,48.1%,24.6%,9.0%,5.0%,49.4%,15.3%,20.4%,14.1%,0.8%,https://ranking.zeit.de/che/en/hochschule/22,"Business Administration (Wirtschaftswissenschaftliche Fakultät), Business Administration (Wirtschaftswissenschaftliche Fakultät - FIM), Business Informatics, Computer Science, Economics, Education Science, English / North American Studies, Geography, German Language and Literature, Industrial Engineering, Law, Materials Science / Engineering, Mathematics, Physics, Political Science, Romance Studies, Sports Sciences","[{'name': 'Business Administration', 'extra': 'Wirtschaftswissenschaftliche Fakultät', 'url': 'https://ranking.zeit.de/che/en/fachbereich/300032'}, {'name': 'Business Administration', 'extra': 'Wirtschaftswissenschaftliche Fakultät - FIM', 'url': 'https://ranking.zeit.de/che/en/fachbereich/8300032'}, {'name': 'Business Informatics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/4100382'}, {'name': 'Computer Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/420129'}, {'name': 'Economics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100227'}, {'name': 'Education Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30506'}, {'name': 'English / North American Studies', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30504'}, {'name': 'Geography', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430033'}, {'name': 'German Language and Literature', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/30004'}, {'name': 'Industrial Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/1600755'}, {'name': 'Law', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400031'}, {'name': 'Materials Science / Engineering', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/604411?subfach=108'}, {'name': 'Mathematics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400029'}, {'name': 'Physics', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/400030'}, {'name': 'Political Science', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/100121'}, {'name': 'Romance Studies', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/440009'}, {'name': 'Sports Sciences', 'extra': '', 'url': 'https://ranking.zeit.de/che/en/fachbereich/430571'}]"
