name,department_name,program_name,type_of_degree_course,standard_period_of_study,total_credits,teaching_profile,interdisciplinarity,credits_for_laboratory_practicals,excursions,number_of_students,first_year_students_per_year,graduates_per_year,graduations_in_appropriate_time,gender_balance,url,proportion_of_international_students,share_of_foreign_language_courses,applicants/places_ratio,subject_orientation,practical_elements_in_the_degree_course,mandatory_study_period_abroad,combined_study_programme_with_foreign_hei,international_orientation:_studies_abroad,international_orientation:_students_mobility,international_orientation:_share_in_foreign_language,international_orientation_of_the_degree_course,contact_with_work_environment:_internships,contact_with_work_environment:_case_studies,contact_with_work_environment:_external_staff_members,contact_with_work_environment:_theses_in_cooperation_with_work_environment,contact_with_work_environment,mode_of_admission,contact_with_work_environment:_excursions,study_duration_median,share_of_ects_in_international_law,key_skills,admission_requirements,international_orientation:_credits_for_courses_in_intercultural_competence,preliminary_internship,coursework_composition,credits_aquired_at_the_practice_partner,extent_of_interlinking_of_this_programme,extent_of_interlinking:_study_contents,extent_of_interlinking:_support,extent_of_interlinking:_institutionel_level,cooperative_education:_contact_persons,cooperative_education:_outcome_control,cooperative_education:_content_linking,cooperative_education:_courses,cooperative_education:_student_exchange_in_theory/practical_phase,cooperative_education:_selection_process,cooperative_education:_salary,number_of_credits_for_international_law,dual_course_of_study:_success_rate,dual_course_of_study:_contract_modalities,scope_of_compulsory_laboratory_courses
Albert-Ludwigs-Universität Freiburg,Fakultät für Biologie at the Uni Freiburg,Biology (B.Sc.),,6semesters,180,,no interdisciplinary study course,34 ECTS from compulsory subjects; 164 ECTS from elective subjects,Scope of excursions: 5 compulsory ECTS and 16 compulsory elective ECTS,544,177,150,40.2%,40:60[%m:%f],https://ranking.zeit.de/che/en/studiengang/20655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Fakultät für Biologie at the Uni Freiburg,"Biology (B, multi-disciplinary, dual subject)",,6semesters,180,,no interdisciplinary study course,34 ECTS from compulsory subjects; 61 ECTS from elective subjects,Scope of excursions: 5 compulsory ECTS and 6 compulsory elective ECTS,191,65,not calculated due to no graduates in academic year 2015,not calculated due to no graduates in academic year 2015,37:63[%m:%f],https://ranking.zeit.de/che/en/studiengang/37877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Fakultät für Biologie at the Uni Freiburg,Biology (M.Sc.),,4semesters,120,,no interdisciplinary study course,no data,Scope of excursions:  35 compulsory elective ECTS,333,115,138,,42:58[%m:%f],https://ranking.zeit.de/che/en/studiengang/27525,8.0%,75.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Fakultät für Biologie at the Uni Freiburg,Neuroscience (M.Sc.),,4semesters,120,,no interdisciplinary study course,no data,,39,23,no graduates in the period of time surveyed,,41:59[%m:%f],https://ranking.zeit.de/che/en/studiengang/40331,36.0%,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Fakultät für Chemie und Pharmazie at the Uni Freiburg,Chemistry (B),,6semesters,no data,,,,,380,127,52,,62:38[%m:%f],https://ranking.zeit.de/che/en/studiengang/21461,,,no admission restriction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Fakultät für Chemie und Pharmazie at the Uni Freiburg,"Chemistry (B, polyvalent with Teacher training option)",,6semesters,no data,,,,,118,64,no data available,,58:42[%m:%f],https://ranking.zeit.de/che/en/studiengang/40054,,,no admission restriction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Fakultät für Chemie und Pharmazie at the Uni Freiburg,German-French ''Regio-Chimica'' programme (B),,6semesters,no data,,,,,68,19,no data available,,29:71[%m:%f],https://ranking.zeit.de/che/en/studiengang/21463,,,4:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Fakultät für Chemie und Pharmazie at the Uni Freiburg,Biochemistry and Biophysics  (M),,4semesters,no data,,,,,93,41,,,54:46[%m:%f],https://ranking.zeit.de/che/en/studiengang/36344,,,no admission restriction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Fakultät für Chemie und Pharmazie at the Uni Freiburg,Chemistry (M),,6semesters,no data,,,,,207,49,,,70:30[%m:%f],https://ranking.zeit.de/che/en/studiengang/21462,,,no admission restriction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Fakultät für Chemie und Pharmazie at the Uni Freiburg,Sustainable Materials - Polymer Science (M),,4semesters,no data,,,,,89,44,,,65:35[%m:%f],https://ranking.zeit.de/che/en/studiengang/36343,,,no admission restriction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Fakultät für Chemie und Pharmazie at the Uni Freiburg,Sustainable Materials - Crystalline Materials (M),,4semesters,no data,,,,,27,,,,74:26[%m:%f],https://ranking.zeit.de/che/en/studiengang/37729,,,no admission restriction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Fakultät für Chemie und Pharmazie at the Uni Freiburg,Sustainable Materials - Functional Materials (M),,4semesters,no data,,,,,20,,,,65:35[%m:%f],https://ranking.zeit.de/che/en/studiengang/37728,,,no admission restriction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Technische Fakultät at the Uni Freiburg,Computer Science (B),,6semesters,180,,no interdisciplinary study course,,,520,191,43,65.1%,85:15[%m:%f],https://ranking.zeit.de/che/en/studiengang/21624,12.0%,10.0%,no admission restriction,"Applied Computer Science, Bioinformatics, Software-Engineering, Medical Informatics, IT-Security",22 ECTS for practical courses,"no, but credits can be counted",no,1/4points,2/2points,1/3points,4/9points,0/4points,2/3points,1/2points,0/2points,3/11points,,,,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Technische Fakultät at the Uni Freiburg,Embedded Systems Engineering (B),,6semesters,180,,interdisciplinary study course,,,131,42,22,62.2%,86:14[%m:%f],https://ranking.zeit.de/che/en/studiengang/27751,11.0%,8.0%,no admission restriction,"Applied Computer Science, Engineering Information Technology / Computer Engineering, Computer Engineering, IT-Security",30 ECTS for practical courses,"no, but credits can be counted",no,1/4points,2/2points,1/3points,4/9points,0/4points,3/3points,1/2points,0/2points,4/11points,,,,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Technische Fakultät at the Uni Freiburg,Computer Science in multi-disciplinary dual-subject Bachelor's degree with TQ option (B),,6semesters,180,,no interdisciplinary study course,,,54,34,no graduates in the period of time surveyed,no graduates in the period of time surveyed,74:26[%m:%f],https://ranking.zeit.de/che/en/studiengang/40088,6.0%,8.0%,no admission restriction,Applied Computer Science,4 ECTS for practical courses,"no, but credits can be counted",no,1/4points,1/2points,1/3points,3/9points,,,,,Not ranked,,,,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Technische Fakultät at the Uni Freiburg,Computer Science (M),,4semesters,120,,no interdisciplinary study course,,,317,83,52,23.8%,80:20[%m:%f],https://ranking.zeit.de/che/en/studiengang/21898,49.0%,100.0%,no admission restriction,"Applied Computer Science, Bioinformatics, Software-Engineering, Medical Informatics, IT-Security, Computer Visualistics",16 ECTS for optional practical projects/internships; 22 ECTS for practical courses,"no, but credits can be counted",no,1/4points,2/2points,3/3points,6/9points,0/4points,2/3points,1/2points,0/2points,4/11points,,,,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Technische Fakultät at the Uni Freiburg,Embedded Systems Engineering (M),,4semesters,120,,interdisciplinary study course,,,187,55,30,40.0%,85:15[%m:%f],https://ranking.zeit.de/che/en/studiengang/34268,52.0%,95.0%,no admission restriction,"Applied Computer Science, Engineering Information Technology / Computer Engineering, Computer Engineering, Medical Informatics, IT-Security",30 ECTS for practical courses,"no, but credits can be counted",no,1/4points,2/2points,3/3points,6/9points,0/4points,3/3points,1/2points,0/2points,4/11points,,,,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Wirtschafts- und Verhaltenswissenschaftliche Fakultät at the Uni Freiburg,Education Science and Education Management (B.A.),"presence learning programme, full-time",6semesters,180,"110 credits in mandatory modules, 10 credits in compulsory elective modules",,,,173,52,38,98.7%,,https://ranking.zeit.de/che/en/studiengang/29319,85.0%,,,Adult Education/Further Education,10 weeks practice/internship outside the university obligatory; 28 ECTS max. permissible for practice-oriented courses,,,,,,,2/4points,2/3points,2/2points,1/2points,7/11points,"limited number of places, 30 places",,,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Wirtschafts- und Verhaltenswissenschaftliche Fakultät at the Uni Freiburg,Education Science: Teching and Learning (M.A.),"presence learning programme, full-time",4semesters,120,no data,,,,55,22,17,67.6%,,https://ranking.zeit.de/che/en/studiengang/29320,71.0%,,,Adult Education/Further Education,14 weeks practice/internship outside the university obligatory; 29 ECTS max. permissible for practice-oriented courses,,,,,,,2/4points,2/3points,2/2points,0/2points,6/11points,number of places not limited,,,,,,,,,,,,,,,,,,,,,,,,
Albert-Ludwigs-Universität Freiburg,Fakultät für Umwelt und Natürliche Ressourcen at the Uni Freiburg,Geography (B.Sc.),Presence learning programme; full-time programme,6semesters,180,,no interdisciplinary study course,,Scope of excursions: 7 compulsory ECTS and 5 compulsory elective ECTS,122,35,28,64.9%,46:54[%m:%f],https://ranking.zeit.de/che/en/studiengang/15354,6.0%,0.0%,183:28,,8 weeks mandatory practical period/internship outside the university; 45 ECTS for practical courses,"no, but credits can be counted",no,1/4points,1/2points,0/3points,2/9points,2/4points,3/3points,1/2points,0/2points,7/12points,,1/1points,,,,,,,,,,,,,,,,,,,,,,,
