name,department_name,total_number_of_students,number_of_master_degree_students,number_of_bachelors_degree_students,total_score_for_support_in_the_study_entry_phase,graduations_in_appropriate_time_undergraduate_degrees,graduations_in_appropriate_time_masters,teacher_support,support_in_studies,courses_offered,study_organisation,exams,job_market_preparation,support_for_stays_abroad,rooms,library,it_infrastructure,overall_study_situation,international_orientation_bachelors,international_orientation_masters,contact_with_work_environment_bachelors,contact_with_work_environment_masters,bachelors,masters,phds
Albert-Ludwigs-Universität Freiburg,Fakultät für Biologie at the Uni Freiburg,"1,030",372,658,b,0.402,,,,,,,2.2,2.1,,,,,,,,,1,3,0
Albert-Ludwigs-Universität Freiburg,Wirtschafts- und Verhaltenswissenschaftliche Fakultät at the Uni Freiburg,530,,530,,0.831,0.435,,,,,,,,,,,,,,,,0,0,0
Albert-Ludwigs-Universität Freiburg,Fakultät für Chemie und Pharmazie at the Uni Freiburg,700,436,264,c,,,,2.2,,1.5,,,,,,,2.3,,,,,3,5,0
Albert-Ludwigs-Universität Freiburg,Technische Fakultät at the Uni Freiburg,940,504,436,b,0.651,0.238,1.9,2.2,1.6,1.9,2.3,2.2,2.6,1.4,1.6,1.8,1.8,c,b,d,d,3,2,0
Albert-Ludwigs-Universität Freiburg,Medizinische Fakultät at the Uni Freiburg,560,25,535,,0.947,,,,,,,,,,,,,,,,,0,0,0
Albert-Ludwigs-Universität Freiburg,Wirtschafts- und Verhaltenswissenschaftliche Fakultät at the Uni Freiburg,"1,620",,"1,620",,0.494,0.237,,,,,,,,,,,,,,,,0,0,0
Albert-Ludwigs-Universität Freiburg,Wirtschafts- und Verhaltenswissenschaftliche Fakultät at the Uni Freiburg,190,60,130,,0.987,0.676,,,,,,,,,,,,,,c,c,1,1,0
Albert-Ludwigs-Universität Freiburg,Philologische Fakultät at the Uni Freiburg,470,130,340,,0.733,0.267,,,,,,,,,,,,,,,,0,0,0
Albert-Ludwigs-Universität Freiburg,Fakultät für Umwelt und Natürliche Ressourcen at the Uni Freiburg,140,82,58,c,0.649,0.241,,,,,,,,,,,,d,d,c,d,2,1,0
Albert-Ludwigs-Universität Freiburg,Fakultät für Umwelt und Natürliche Ressourcen at the Uni Freiburg,220,53,167,b,0.679,0.31,,,,,,,,,,,,e,b,c,d,1,2,0
Albert-Ludwigs-Universität Freiburg,Philologische Fakultät at the Uni Freiburg,420,110,310,b,0.838,0.32,2.2,2.5,2.5,2.2,2.6,3.4,2.4,2.3,1.7,2.1,2.1,d,c,,,3,6,0
Albert-Ludwigs-Universität Freiburg,Technische Fakultät at the Uni Freiburg,770,430,340,b,0.786,0.293,2.1,2.4,2,2,,,2.4,,,,1.8,d,c,e,e,2,5,0
Albert-Ludwigs-Universität Freiburg,Rechtswissenschaftliche Fakultät at the Uni Freiburg,"2,500",,"2,500",c,,,2.7,2.7,2.7,2.1,2.8,3.1,2.3,2.7,2.8,2.5,2.5,,,,,0,4,0
Albert-Ludwigs-Universität Freiburg,Fakultät für Mathematik und Physik at the Uni Freiburg,380,125,255,b,0.651,0.239,,,,,,,,,,,,d,d,,,2,1,0
Albert-Ludwigs-Universität Freiburg,Medizinische Fakultät at the Uni Freiburg,"2,870",95,"2,775",,0.818,,,,,,,,,,,,,,3,,,0,0,0
Albert-Ludwigs-Universität Freiburg,Medizinische Fakultät at the Uni Freiburg,140,70,70,,1,,,,,,,,,,,,,,,,,0,0,0
Albert-Ludwigs-Universität Freiburg,Fakultät für Chemie und Pharmazie at the Uni Freiburg,690,76,614,,0.634,,2.6,2.5,3.2,1.7,2.4,2.6,3.2,2.2,1.8,1.9,2.4,,,,,1,2,0
Albert-Ludwigs-Universität Freiburg,Fakultät für Mathematik und Physik at the Uni Freiburg,300,160,140,b,0.752,0.635,2.4,2.5,2.6,1.6,2.3,,,1.9,1.8,1.7,2.3,e,b,,,2,2,0
Albert-Ludwigs-Universität Freiburg,Philosophische Fakultät at the Uni Freiburg,370,123,247,b,0.764,0.057,2.1,2.2,2.3,1.9,,,2,1.7,1.6,1.8,2,d,c,,,3,2,0
